time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:34:54.943640,23.96,100902.73,39.99,35.22,-0.35,-0.93,-9.72,0.09,-0.12,-0.09,95,2,2,2,5,-1
2021-05-17 15:34:55.423309,23.96,100903.17,39.99,35.18,-0.16,-1.17,-9.79,0.09,-0.12,-0.09,109,2,2,2,5,-1
2021-05-17 15:34:55.903731,23.96,100902.23,40.00,35.26,-0.31,-0.96,-9.70,0.09,-0.12,-0.09,103,2,2,2,5,-1
2021-05-17 15:34:56.383866,23.96,100905.34,39.97,35.00,-0.32,-0.93,-9.76,0.09,-0.12,-0.09,107,2,2,2,5,-1
2021-05-17 15:34:56.863832,23.96,100900.58,40.00,35.40,-0.34,-0.97,-9.77,0.09,-0.12,-0.09,171,2,2,2,5,-1
2021-05-17 15:34:57.343987,23.96,100902.31,40.00,35.25,-0.29,-0.95,-9.69,0.09,-0.12,-0.09,120,2,2,2,5,-1
2021-05-17 15:34:57.823853,23.97,100904.08,39.93,35.10,-0.30,-0.95,-9.74,0.09,-0.12,-0.09,167,2,2,2,5,-1
2021-05-17 15:34:58.303862,23.97,100906.08,40.01,34.94,-0.31,-0.96,-9.73,0.09,-0.12,-0.09,118,2,2,2,5,-1
2021-05-17 15:34:58.783942,23.96,100901.65,39.97,35.31,-0.28,-0.97,-9.74,0.09,-0.12,-0.10,113,2,2,2,5,-1
2021-05-17 15:34:59.264198,23.97,100900.41,39.99,35.41,-0.29,-0.95,-9.74,0.09,-0.12,-0.09,107,2,2,2,5,-1
2021-05-17 15:34:59.743930,23.97,100903.41,39.99,35.16,-0.31,-0.94,-9.76,0.09,-0.12,-0.09,352,2,2,2,5,-1
2021-05-17 15:35:00.224238,23.97,100902.17,39.99,35.26,-0.33,-0.97,-9.71,0.09,-0.12,-0.09,111,2,2,2,5,-1
2021-05-17 15:35:00.705317,23.97,100904.92,40.01,35.03,-0.31,-0.94,-9.69,0.09,-0.12,-0.09,96,2,2,2,5,-1
2021-05-17 15:35:01.184055,23.97,100903.92,40.01,35.12,-0.31,-0.96,-9.74,0.09,-0.12,-0.09,110,2,2,2,5,-1
2021-05-17 15:35:01.664416,23.97,100901.74,40.02,35.30,-0.34,-0.97,-9.74,0.10,-0.12,-0.09,92,2,2,2,5,-1
2021-05-17 15:35:02.144030,23.96,100904.49,40.02,35.07,-0.32,-0.94,-9.74,0.09,-0.12,-0.09,98,2,2,2,5,-1
2021-05-17 15:35:02.624037,23.96,100902.82,40.02,35.21,-0.28,-0.97,-9.71,0.09,-0.12,-0.09,115,2,2,2,5,-1
2021-05-17 15:35:03.103984,23.97,100902.17,39.95,35.26,-0.30,-0.98,-9.74,0.09,-0.12,-0.09,105,2,2,2,5,-1
2021-05-17 15:35:03.584050,23.97,100903.52,40.02,35.15,-0.32,-0.94,-9.73,0.09,-0.12,-0.09,120,2,2,2,5,-1
2021-05-17 15:35:04.064126,23.97,100905.41,40.04,34.99,-0.34,-0.97,-9.77,0.09,-0.12,-0.09,116,2,2,2,5,-1
2021-05-17 15:35:04.543976,23.97,100905.09,40.05,35.02,-0.31,-0.92,-9.69,0.09,-0.12,-0.09,100,2,2,2,5,-1
2021-05-17 15:35:05.024030,23.97,100904.92,39.97,35.03,-0.30,-0.94,-9.70,0.09,-0.12,-0.09,100,2,2,2,5,-1
2021-05-17 15:35:05.504596,23.97,100903.58,40.01,35.15,-0.32,-0.95,-9.71,0.09,-0.12,-0.09,91,2,2,2,5,-1
2021-05-17 15:35:05.984070,23.96,100907.84,39.96,34.79,-0.33,-0.96,-9.73,0.09,-0.12,-0.09,119,2,2,2,5,-1
2021-05-17 15:35:06.464127,23.97,100905.52,39.97,34.98,-0.30,-0.96,-9.72,0.09,-0.12,-0.09,117,2,2,2,5,-1
